Car,Price
Acura,13
Chevrolet,246
Suzuki,58
Dacia,12
Lincoln,6
ZAZ,102
Kia,215
Infiniti,64
Seat,39
Chery,53
SMA,1
MG,4
Saab,1
Mazda,198
Hyundai,367
Samand,2
Moskvich-AZLK,12
Tesla,22
Huanghai,1
Jaguar,19
Subaru,114
Lancia,3
VAZ,489
Wartburg,1
Barkas,1
Maserati,1
Lexus,174
Mercedes-Benz,921
Aston Martin,3
Alfa Romeo,11
Volvo,32
GMC,3
Dadi,2
Peugeot,182
Opel,400
UAZ,21
Audi,457
BYD,7
Groz,2
Fisker,1
Honda,206
Toyota,541
Other-Retro,1
Buick,1
Porsche,92
Changan,1
Aro,1
SsangYong,45
Jeep,25
Volkswagen,936
JAC,2
BMW,694
Samsung,1
Smart,57
TATA,1
Bentley,16
Isuzu,2
Citroen,108
Bogdan,2
Daihatsu,3
Lamborghini,1
Rover,4
Great Wall,9
Cadillac,3
Fiat,119
GAZ,34
Skoda,368
FAW,1
Hafei,1
Mercury,1
Ford,350
Nissan,368
Daewoo,235
Chrysler,28
Land Rover,151
Dodge,16
Rolls-Royce,2
Hummer,5
Mitsubishi,327
ZX,1
ï¿½UAZ,6
Geely,56
Lifan,4
Moskvich-Izh,5
Ferrari,2
Renault,469
MINI,15
